全球,301988196,5477778
美国,59031556,835815
印度,35226386,483178
巴西,22328252,619654
英国,14279775,150222
法国,11618224,126195
俄罗斯,10437471,308258
土耳其,9852458,83388
德国,7458433,113717
意大利,7083762,138697
西班牙,6922466,89837
伊朗,6204224,131821
阿根廷,6025303,117386
哥伦比亚,5242672,130191
印尼,4265187,144121
波兰,4191193,99428
墨西哥,4055095,299970
乌克兰,3877032,103434
南非,3513813,92252
荷兰,3344040,21535
菲律宾,2910664,51871
马来西亚,2780080,31644
捷克,2517475,36507
加拿大,2465578,30713
秘鲁,2328312,202946
泰国,2252776,21799
比利时,2206992,28446
伊拉克,2096490,24198
越南,1859841,33877
罗马尼亚,1833789,58971
智利,1821071,39232
日本,1747907,18396
孟加拉国,1591093,28098
葡萄牙,1499976,19029
瑞士,1483212,12339
以色列,1463193,8259
希腊,1451354,21263
瑞典,1416650,15377
斯洛伐克,1391061,16896
塞尔维亚,1334994,12867
奥地利,1321725,13830
巴基斯坦,1301141,28961
匈牙利,1282957,39780
哈萨克斯坦,1074283,18267
约旦,1047953,12372
摩洛哥,990057,14896
古巴,972513,8325
格鲁吉亚,953410,14128
丹麦,947908,3359
爱尔兰,930598,5952
尼泊尔,831052,11602
阿联酋,780211,2170
保加利亚,770001,31375
澳大利亚,762504,2321
黎巴嫩,753879,9231
克罗地亚,749455,12805
突尼斯,735973,25630
白俄罗斯,706530,5685
韩国,657508,5932
玻利维亚,652819,19888
危地马拉,633774,16117
阿塞拜疆,620049,8431
斯里兰卡,590651,15099
哥斯达黎加,581394,7370
沙特阿拉伯,572225,8890
厄瓜多尔,559950,33699
立陶宛,536405,7504
Burma,531801,19288
巴拿马,512402,7449
斯洛文尼亚,482927,5644
巴拉圭,472673,16658
约旦河西岸和加沙,471414,4954
委内瑞拉,446026,5345
多米尼加,444985,4252
埃塞俄比亚,440024,7005
乌拉圭,430958,6186
挪威,428736,1350
科威特,428100,2469
利比亚,392868,5778
蒙古国,392430,2068
埃及,390294,21882
摩尔多瓦,379572,10350
洪都拉斯,379402,10433
亚美尼亚,345518,7997
肯尼亚,309130,5425
阿曼,306755,4117
芬兰,305522,1638
波斯尼亚和黑塞哥维那,297333,13568
巴林,287939,1395
拉脱维亚,285026,4642
新加坡,283214,835
赞比亚,278276,3790
卡塔尔,260283,618
爱沙尼亚,249592,1951
尼日利亚,246195,3066
北马其顿,230265,8002
博茨瓦纳,229855,2475
阿尔及利亚,221316,6325
津巴布韦,220178,5108
阿尔巴尼亚,214905,3233
莫桑比克,206272,2075
加州,5959487,76983
德克萨斯,4946880,76364
佛罗里达,4486276,62622
纽约,3929750,60276
伊利诺伊,2382423,30794
宾夕法尼亚,2206899,37522
俄亥俄,2151829,30072
乔治亚,1928942,31521
密西根,1855658,29955
北卡,1816380,19619
新泽西,1782463,29374
田纳西,1462996,20941
亚利桑那,1430241,24586
印第安纳,1314688,19448
马萨诸塞,1250765,20510
弗吉尼亚,1220869,15651
威斯康星,1186066,11402
密苏里,1075994,16476
明尼苏达,1064065,10906
南卡,1048252,14746
科罗拉多,979437,10402
阿拉巴马,957848,16585
华盛顿州,913980,9974
路易斯安那,908428,15054
肯塔基,904916,12319
马里兰,800743,12107
俄克拉荷马,737593,12592
犹他,682036,3887
阿肯色,604843,9298
爱荷华,596296,8019
密西西比,586547,10527
堪萨斯,565288,7101
康涅狄格,563635,9281
内华达,509472,8509
俄勒冈,449267,5728
新墨西哥,364861,5969
内布拉斯加,355928,3416
西弗吉尼亚,351688,5421
波多黎各,340152,3357
爱达荷,325730,4223
罗德岛,266066,3121
新罕布什尔,211952,2017
蒙大拿,202863,2917
特拉华,195600,2286
南达科塔,189411,2522
北达科塔,180646,2073
阿拉斯加,161678,979
缅因,152173,1599
夏威夷,134442,1101
怀俄明,119093,1572
华盛顿特区,108112,1225
佛蒙特,73802,482
关岛,20594,274
维京群岛,11833,89
北马里亚纳群岛,3518,18
至尊公主号,103,3
钻石公主号,49,0
美属萨摩亚,10,0
